,2017,2016,2015,2014,2013
负债占资产比率(%),0.414457076472,0.473718697942,0.409489815617,0.0612036456581,0.260112867242
长期资金占不动产及设备比率(%),0.0,0.0,2.33518130687,2.45226141995,0.0
流动比率(%),2.03572971708,1.86379967855,2.07937606874,10.3525164739,2.98586290615
速动比率(%),1.21420267709,1.30126465146,1.69649938497,5.17851545487,2.58617541247
应收款项周转率,6.07021656623,4.83570476618,0.0,0.836780018514,2.99152853534
应收款项周转天数,59.3059565622,74.4462322261,0.0,430.220598048,120.339818172
存货周转率,1.37504944439,3.13590092908,0.50179431524,3.06051137944,9.39748150222
存货周转天数,261.808767291,114.799545056,717.425425253,117.62740123,38.3081360591
固定资产周转率,3.85273382657,5.5438418312,2.17292891706,0.903957122021,2.8319649574
总资产周转率,0.398093435541,0.634284813017,0.195998796965,0.235302061789,0.490783793011
ROA=资产收益率,0.0389044584409,0.143287723285,0.0156501123791,0.0201096747469,0.0803329176851
净资产收益率,0.0700704107733,0.249959808811,0.016994110605,0.0284364316197,0.111219105109
ROA=税前纯益占实收资本比率,0.315291597929,0.389512424357,1.54978933847,0.480541582139,0.416173016038
毛利率,0.214278053597,0.202589222557,0.354742600707,0.581025624191,0.338423535674
营业利润率,0.112130711578,0.0884391481639,0.189571433287,0.259085286607,0.147265217663
净利率,0.10214734201984517,0.11415007439357225,0.1651711674205193,0.3219403375836432,0.19115831801085678
营业费用率,0.10214734201984517,0.11415007439357225,0.1651711674205193,0.3219403375836432,0.19115831801085678
经营安全边际率,0.5232953617742659,0.4365441904926514,0.5343915078389464,0.44591025906620213,0.43515063859253394
EPS=基本每股收益,0.266044242099,0.33504646555,1.30002454986,0.409600988864,0.364115271336
营收增长率,-0.325053818046,0.317285157986,-0.0479687683882,0.0615463374333,0.256267681903
毛利率,0.214278053597,0.202589222557,0.354742600707,0.581025624191,0.338423535674
营业利润率,0.112130711578,0.0884391481639,0.189571433287,0.259085286607,0.147265217663
净利增长率,-0.166245631796,0.843130050339,-0.674981529857,-0.380111628297,0.186423361916
净资本增长率,-0.0456816955981,0.384989733258,0.0431564707587,1.13589682408,0.287242270519
现金流量比率,0.0,0.0,0.24523609016,0.0,0.0862884793126
现金再投资比率,0.0,0.0,0.058157831052,0.0,-0.0088011934416
